exchange,symbol,tf,rows,start,end,path,error
binance,BTCUSDT,15,10253,2026-03-27 13:30:00+00:00,2026-07-12 08:30:00+00:00,data/features/structure/L2_R2/binance/BTCUSDT/15.parquet,
binance,BTCUSDT,60,2881,2026-03-14 09:00:00+00:00,2026-07-12 09:00:00+00:00,data/features/structure/L2_R2/binance/BTCUSDT/60.parquet,
binance,BTCUSDT,240,721,2026-03-14 12:00:00+00:00,2026-07-12 12:00:00+00:00,data/features/structure/L2_R2/binance/BTCUSDT/240.parquet,
binance,ETHUSDT,15,10253,2026-03-27 13:30:00+00:00,2026-07-12 08:30:00+00:00,data/features/structure/L2_R2/binance/ETHUSDT/15.parquet,
binance,ETHUSDT,60,2881,2026-03-14 09:00:00+00:00,2026-07-12 09:00:00+00:00,data/features/structure/L2_R2/binance/ETHUSDT/60.parquet,
binance,ETHUSDT,240,721,2026-03-14 12:00:00+00:00,2026-07-12 12:00:00+00:00,data/features/structure/L2_R2/binance/ETHUSDT/240.parquet,
binance,SOLUSDT,15,11385,2026-03-14 09:15:00+00:00,2026-07-12 08:30:00+00:00,data/features/structure/L2_R2/binance/SOLUSDT/15.parquet,
binance,SOLUSDT,60,2881,2026-03-14 09:00:00+00:00,2026-07-12 09:00:00+00:00,data/features/structure/L2_R2/binance/SOLUSDT/60.parquet,
binance,SOLUSDT,240,721,2026-03-14 12:00:00+00:00,2026-07-12 12:00:00+00:00,data/features/structure/L2_R2/binance/SOLUSDT/240.parquet,
binance,XRPUSDT,15,10253,2026-03-27 13:30:00+00:00,2026-07-12 08:30:00+00:00,data/features/structure/L2_R2/binance/XRPUSDT/15.parquet,
binance,XRPUSDT,60,2881,2026-03-14 09:00:00+00:00,2026-07-12 09:00:00+00:00,data/features/structure/L2_R2/binance/XRPUSDT/60.parquet,
binance,XRPUSDT,240,721,2026-03-14 12:00:00+00:00,2026-07-12 12:00:00+00:00,data/features/structure/L2_R2/binance/XRPUSDT/240.parquet,
binance,DOGEUSDT,15,11121,2026-03-14 08:45:00+00:00,2026-07-12 08:30:00+00:00,data/features/structure/L2_R2/binance/DOGEUSDT/15.parquet,
binance,DOGEUSDT,60,2881,2026-03-14 09:00:00+00:00,2026-07-12 09:00:00+00:00,data/features/structure/L2_R2/binance/DOGEUSDT/60.parquet,
binance,DOGEUSDT,240,721,2026-03-14 12:00:00+00:00,2026-07-12 12:00:00+00:00,data/features/structure/L2_R2/binance/DOGEUSDT/240.parquet,
binance,BNBUSDT,15,10253,2026-03-27 13:30:00+00:00,2026-07-12 08:30:00+00:00,data/features/structure/L2_R2/binance/BNBUSDT/15.parquet,
binance,BNBUSDT,60,2881,2026-03-14 09:00:00+00:00,2026-07-12 09:00:00+00:00,data/features/structure/L2_R2/binance/BNBUSDT/60.parquet,
binance,BNBUSDT,240,721,2026-03-14 12:00:00+00:00,2026-07-12 12:00:00+00:00,data/features/structure/L2_R2/binance/BNBUSDT/240.parquet,
binance,HYPEUSDT,15,10160,2026-03-28 12:45:00+00:00,2026-07-12 08:30:00+00:00,data/features/structure/L2_R2/binance/HYPEUSDT/15.parquet,
binance,HYPEUSDT,60,2881,2026-03-14 09:00:00+00:00,2026-07-12 09:00:00+00:00,data/features/structure/L2_R2/binance/HYPEUSDT/60.parquet,
binance,HYPEUSDT,240,721,2026-03-14 12:00:00+00:00,2026-07-12 12:00:00+00:00,data/features/structure/L2_R2/binance/HYPEUSDT/240.parquet,
binance,AAVEUSDT,15,10160,2026-03-28 12:45:00+00:00,2026-07-12 08:30:00+00:00,data/features/structure/L2_R2/binance/AAVEUSDT/15.parquet,
binance,AAVEUSDT,60,2881,2026-03-14 09:00:00+00:00,2026-07-12 09:00:00+00:00,data/features/structure/L2_R2/binance/AAVEUSDT/60.parquet,
binance,AAVEUSDT,240,721,2026-03-14 12:00:00+00:00,2026-07-12 12:00:00+00:00,data/features/structure/L2_R2/binance/AAVEUSDT/240.parquet,
binance,WLDUSDT,15,4492,2026-05-26 13:45:00+00:00,2026-07-12 08:30:00+00:00,data/features/structure/L2_R2/binance/WLDUSDT/15.parquet,
binance,WLDUSDT,60,2881,2026-03-14 09:00:00+00:00,2026-07-12 09:00:00+00:00,data/features/structure/L2_R2/binance/WLDUSDT/60.parquet,
binance,WLDUSDT,240,721,2026-03-14 12:00:00+00:00,2026-07-12 12:00:00+00:00,data/features/structure/L2_R2/binance/WLDUSDT/240.parquet,
binance,1000PEPEUSDT,15,4492,2026-05-26 13:45:00+00:00,2026-07-12 08:30:00+00:00,data/features/structure/L2_R2/binance/1000PEPEUSDT/15.parquet,
binance,1000PEPEUSDT,60,1124,2026-05-26 14:00:00+00:00,2026-07-12 09:00:00+00:00,data/features/structure/L2_R2/binance/1000PEPEUSDT/60.parquet,
binance,1000PEPEUSDT,240,282,2026-05-26 16:00:00+00:00,2026-07-12 12:00:00+00:00,data/features/structure/L2_R2/binance/1000PEPEUSDT/240.parquet,
binance,AVAXUSDT,15,4492,2026-05-26 13:45:00+00:00,2026-07-12 08:30:00+00:00,data/features/structure/L2_R2/binance/AVAXUSDT/15.parquet,
binance,AVAXUSDT,60,2881,2026-03-14 09:00:00+00:00,2026-07-12 09:00:00+00:00,data/features/structure/L2_R2/binance/AVAXUSDT/60.parquet,
binance,AVAXUSDT,240,721,2026-03-14 12:00:00+00:00,2026-07-12 12:00:00+00:00,data/features/structure/L2_R2/binance/AVAXUSDT/240.parquet,
binance,LINKUSDT,15,10160,2026-03-28 12:45:00+00:00,2026-07-12 08:30:00+00:00,data/features/structure/L2_R2/binance/LINKUSDT/15.parquet,
binance,LINKUSDT,60,2881,2026-03-14 09:00:00+00:00,2026-07-12 09:00:00+00:00,data/features/structure/L2_R2/binance/LINKUSDT/60.parquet,
binance,LINKUSDT,240,721,2026-03-14 12:00:00+00:00,2026-07-12 12:00:00+00:00,data/features/structure/L2_R2/binance/LINKUSDT/240.parquet,
binance,NEARUSDT,15,10160,2026-03-28 12:45:00+00:00,2026-07-12 08:30:00+00:00,data/features/structure/L2_R2/binance/NEARUSDT/15.parquet,
binance,NEARUSDT,60,2881,2026-03-14 09:00:00+00:00,2026-07-12 09:00:00+00:00,data/features/structure/L2_R2/binance/NEARUSDT/60.parquet,
binance,NEARUSDT,240,721,2026-03-14 12:00:00+00:00,2026-07-12 12:00:00+00:00,data/features/structure/L2_R2/binance/NEARUSDT/240.parquet,
binance,SUIUSDT,15,10160,2026-03-28 12:45:00+00:00,2026-07-12 08:30:00+00:00,data/features/structure/L2_R2/binance/SUIUSDT/15.parquet,
binance,SUIUSDT,60,2881,2026-03-14 09:00:00+00:00,2026-07-12 09:00:00+00:00,data/features/structure/L2_R2/binance/SUIUSDT/60.parquet,
binance,SUIUSDT,240,721,2026-03-14 12:00:00+00:00,2026-07-12 12:00:00+00:00,data/features/structure/L2_R2/binance/SUIUSDT/240.parquet,
